state_code,district_code,india/states,division,group,class,nic_name,main_workers_total_persons,main_workers_total_males,main_workers_total_females,main_workers_rural_persons,main_workers_rural_males,main_workers_rural_females,main_workers_urban_persons,main_workers_urban_males,main_workers_urban_females,marginal_workers_total_persons,marginal_workers_total_males,marginal_workers_total_females,marginal_workers_rural_persons,marginal_workers_rural_males,marginal_workers_rural_females,marginal_workers_urban_persons,marginal_workers_urban_males,marginal_workers_urban_females
12,000,STATE - ARUNACHAL PRADESH,25,259,2591,"Forging, pressing, stamping and roll-forming of metal; powder",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
12,000,STATE - ARUNACHAL PRADESH,25,259,2592,Machining; treatment and coating of metals,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,25,259,2593,"Manufacture of cutlery, hand tools and general hardware",304,285,19,181,171,10,123,114,9,43,30,13,20,13,7,23,17,6
12,000,STATE - ARUNACHAL PRADESH,25,259,2599,Manufacture of other fabricated metal products n.e.c.,52,47,5,14,14,0,38,33,5,5,3,2,1,1,0,4,2,2
12,000,STATE - ARUNACHAL PRADESH,26,261,2610,Manufacture of electronic components,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,26,262,2620,Manufacture of computers and peripheral equipment,5,4,1,2,2,0,3,2,1,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,26,263,2630,Manufacture of communication equipment,6,6,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,26,264,2640,Manufacture of consumer electronics,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,27,271,2710,"Manufacture of electric motors, generators, transformers and electricity",6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,27,272,2720,Manufacture of batteries and accumulators,4,4,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,27,275,2750,Manufacture of domestic appliances,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,28,281,2815,"Manufacture of ovens, furnaces and furnace burners",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
